player_id,name,birth_date,roster_position_code,bats,throws
682725,Cristhian Rodriguez,12/23/2001,SS,R,R
688460,Josh Kasevich,1/17/2001,SS,R,R
700250,Ben Rice,2/22/1999,1B,L,R
678851,Manuel Garcia,1/28/2000,C,R,R
672719,Jesus Feliz,6/7/2000,SS,R,R
701496,Benjamin Cowles,2/15/2000,SS,R,R
702176,Alan Roden,12/22/1999,OF,L,R
699024,Leonardo Bernal,2/13/2004,C,S,R
802355,Tanner Schobel,6/4/2001,SS,R,R
694184,Cristian Santana,11/25/2003,SS,R,R
670210,Branden Fryman,3/16/1998,SS,R,R
680089,Konnor Ash,3/17/1999,RHP,R,R
684296,Matt Osterberg,4/21/1999,LHS,L,L
685763,Jonatan Bernal,6/29/2002,RHP,R,R
691032,Luis Moreno,5/29/1999,RHS,R,R
663819,Kyle Wilson,9/27/1996,RHS,R,R
622663,Luis Severino,2/20/1994,RHS,R,R
678215,Luarbert Arias,12/12/2000,RHP,R,R
702911,Tristan Garnett,3/29/1998,LHS,L,L
667236,Kyle Glogoski,1/6/1999,RHS,R,R
803596,Rafael Sanchez,8/22/1999,RHS,R,R
702193,Andrew Morris,9/1/2001,RHS,R,R
596082,Jake Reed,9/29/1992,RHR,R,R
667363,Carlos Ocampo,9/3/1998,RHS,R,R
624407,Tzu-Wei Lin,2/15/1994,SS,L,R
691988,Marcos De La Rosa,1/28/2002,SS,S,S
805862,Matt Alifano,12/31/2000,3B,R,R
671246,Fabricio Macias,3/11/1998,CF,R,R
702708,Emaarion Boyd,8/22/2003,OF,R,R
672613,Eliezer Alfonzo,9/23/1999,C,S,R
671913,Damiano Palmegiani,1/24/2000,3B,R,R
672555,Wilfred Astudillo,3/14/2000,C,S,R
657010,Madison Stokes,4/25/1996,3B,R,R
691829,Jiorgeny Casimiri,7/12/2001,RHS,R,R
686317,Edgar Manzo,10/24/2000,RHS,R,R
700370,Felipe De La Cruz,5/26/2001,LHS,L,L
679724,Jared Pettitte,5/28/1998,LHS,L,L
687885,Alex Garbrick,6/4/1998,RHS,R,R
692601,Erick Rodriguez,3/21/2002,RHS,R,R
622246,Bubba Derby,2/24/1994,RHS,L,R
689434,Anders Tolhurst,9/13/1999,RHS,R,R
678364,Hendry Nunez,7/22/1999,RHR,R,R
701183,Drew Irvine,12/17/1999,RHS,S,R
684711,Yonael Dominguez,10/24/2001,RHS,R,R
801432,Eric Reyzelman,6/27/2001,RHS,R,R
701581,David Festa,3/8/2000,RHS,R,R
666796,Jaison Vilera,6/19/1997,RHS,R,R
686925,Nicholas MacDonald,6/11/1998,RHR,R,R
681751,Lazaro Estrada,4/24/1999,RHS,R,R
687797,Nathan Jones,1/6/1997,RHP,R,R
669746,Tommy Eveld,12/30/1993,RHR,R,R
665984,Edison Suriel,10/24/1998,LHR,L,L
687879,Luis Quinones,7/2/1997,RHS,R,R
691399,Braylin Minier,6/11/2003,SS,L,L
675974,Kevin Kendall,6/25/1999,CF,L,R
687488,Zach Huffins,6/16/1999,LF,R,R
692508,Robert Robertis,11/29/2002,OF,L,L
677572,Alvaro Gonzalez,9/16/2000,2B,S,R
687052,Javeon Cody,7/29/1999,LF,R,R
595375,J.T. Riddle,10/12/1991,3B,L,R
682860,Jauri Custodio,9/21/2001,CF,R,R
691437,Adrian Pinto,9/22/2002,IF,R,R
691402,Andruw Salcedo,9/29/2002,C,S,S
656537,Derek Hill,12/30/1995,CF,R,R
687321,Dan Goggin,6/9/1997,RHR,R,R
806643,Kelsey Ward,1/7/2001,LHS,L,L
701549,Jaylen Nowlin,1/29/2001,LHS,L,L
686951,Cy Nielson,2/25/2001,LHP,R,L
805707,Michael Krauza,8/7/1997,RHR,R,R
683474,Soenni Martinez,5/26/2001,LHS,L,L
664082,Michael Boyle,4/12/1994,LHR,R,L
664054,Cody Stashak,6/4/1994,RHR,R,R
699106,Reynardo Cruz,10/24/2001,RHS,R,R
689147,Orion Kerkering,4/4/2001,RHR,R,R
666202,Mitchell Miller,6/13/1997,LHP,L,L
686934,Alex McFarlane,6/9/2001,RHP,R,R
685321,Gabe Bierman,9/3/1999,RHS,R,R
650994,Juan Nunez,1/23/1996,RHR,R,R
666364,Jordan Balazovic,9/17/1998,RHR,R,R
692369,Jose Davila,11/9/2002,RHS,R,R
696275,RJ Petit,9/23/1999,RHS,R,R
678836,Federico Polanco,3/20/2001,2B,L,R
701678,Hao-Yu Lee,2/3/2003,IF,R,R
695490,Edwin Arroyo,8/25/2003,SS,S,S
686634,Chase Estep,4/12/2000,3B,L,R
689909,Jadiel Sanchez,5/10/2001,OF,S,S
672640,Otto Lopez,10/1/1998,2B,R,R
805346,Ben Ross,6/6/2001,SS,R,R
685718,Albert Inoa,12/4/2001,2B,R,R
691449,Roberto Campos,6/14/2003,OF,R,R
689134,Wyatt Hendrie,2/8/1999,C,R,R
700081,Jake Thompson,3/3/1998,OF,L,R
683625,Emmanuel Sanchez,5/30/2001,SS,R,R
689476,Jace Beck,6/14/2000,RHS,R,R
678783,Robert Colina,4/24/2001,RHS,R,R
694357,Ricky Tiedemann,8/18/2002,LHS,L,L
681890,Troy Watson,6/11/1997,RHS,R,R
805673,Zebby Matthews,5/22/2000,RHS,R,R
641743,Anthony Kay,3/21/1995,LHR,L,L
680749,Joseph Menefee,10/6/1999,LHP,L,L
691172,Yosver Zulueta,1/23/1998,RHR,R,R
623471,Justin Dillon,9/5/1993,RHS,R,R
677323,Dennis Boatman,11/20/1999,RHP,R,R
678660,Victor Vargas,9/3/2000,RHP,R,R
685300,Grant Richardson,7/13/1999,CF,L,L
681142,Justice Thompson,7/8/2000,CF,R,R
669363,Jacob Gonzalez,6/26/1998,3B,R,R
691191,Jose Salas,4/26/2003,SS,S,R
688780,Luke Gold,10/10/2000,3B,R,R
680852,Wilfredo Flores,5/14/2000,LF,L,R
678912,Jommer Hernandez,10/20/2000,1B,R,R
656185,Greg Allen,3/15/1993,LF,S,R
683091,Logan Tanner,11/10/2000,C,R,R
685301,Matt Gorski,12/22/1997,LF,R,R
691710,Vincent Perozo,3/6/2003,C,L,R
677954,Jordan Groshans,11/10/1999,3B,R,R
681735,Juan Loyo,3/16/1999,C,R,R
678576,Wilkin Ramos,10/31/2000,RHS,R,R
663869,Chris Holba,8/31/1996,RHS,R,R
694042,Ulices Campos,12/14/2001,RHS,R,R
703596,Karson Milbrandt,4/21/2004,RHS,R,R
805989,Ryan Chasse,12/11/1999,LHS,L,L
687114,Bryce Hubbart,6/28/2001,LHP,L,L
679630,Brett Schulze,11/24/1997,RHP,R,R
681003,Andrew Walling,10/29/1999,LHP,L,L
695244,Jared Wetherbee,8/14/1998,LHP,L,L
695950,Nicolo Pinazzi,10/25/1999,LHS,L,L
673448,Nelfri Contreras,12/25/1998,LHR,S,L
690916,Richard Fitts,12/17/1999,RHS,R,R
656548,Jordan Holloway,6/13/1996,RHS,R,R
699625,Jimmy Crooks,7/19/2001,C,L,R
546318,Odubel Herrera,12/29/1991,CF,L,R
693304,Nick Gonzales,5/27/1999,2B,R,R
546990,Anthony Alford,7/20/1994,LF,R,R
698984,Carlos Pelegrin,6/21/2000,OF,R,R
